Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
welcomed	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	2	0.00	2	4.13	0.64	0.71	
welcoming	1 	0.00	2 	0.01	1 	0.01	0	0.00	1 	0.01	0	0.00	2 	0.01	7	0.00	5	5.03	0.30	0.33	
welfare	38 	0.13	14 	0.04	2 	0.01	11 	0.03	8 	0.05	21 	0.12	11 	0.04	105	0.06	7	46.97	0.30	0.33	
welfare_state	0	0.00	4 	0.01	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	5	0.00	2	11.79	0.68	0.76	
well	2 	0.01	6 	0.02	1 	0.01	4 	0.01	3 	0.02	1 	0.01	5 	0.02	22	0.01	7	3.85	0.18	0.20	
well-being	0	0.00	10 	0.03	0	0.00	0	0.00	2 	0.01	1 	0.01	0	0.00	13	0.01	3	26.48	0.61	0.67	
well-designed	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
well-financed	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
well-funded	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	7.26	0.84	0.93	
well-informed	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	7.72	0.85	0.95	
well-known	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
well-off	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
well-paid	0	0.00	1 	0.00	1 	0.01	0	0.00	4 	0.02	3 	0.02	0	0.00	9	0.00	4	18.31	0.59	0.66	
well-prepared	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
well-resourced	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
well-respected	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
well-tended	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
well-trained	0	0.00	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	3.71	0.60	0.67	
well_off	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	2	0.00	1	6.88	0.82	0.91	
well_paid	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	2	0.00	1	9.26	0.90	1.00	
wellbeing	0	0.00	3 	0.01	2 	0.01	15 	0.05	5 	0.03	2 	0.01	3 	0.01	30	0.02	6	26.13	0.39	0.43	
wells	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
welsh	11 	0.04	6 	0.02	4 	0.02	9 	0.03	201 	1.14	1 	0.01	1 	0.00	233	0.13	7	767.97	0.76	0.85	
welsh-language	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
welsh-medium	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	2	0.00	1	9.30	0.90	1.00	
welsh_language_channel	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
welsh_speakers	0	0.00	0	0.00	0	0.00	0	0.00	6 	0.03	0	0.00	0	0.00	6	0.00	1	27.91	0.90	1.00	
welsh_water	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
