Folder	ConsManifesto2024	ConsManifesto2024_Rel_Freq	GreenManifesto2024	GreenManifesto2024_Rel_Freq	LabourManifesto2024	LabourManifesto2024_Rel_Freq	LibdemManifesto2024	LibdemManifesto2024_Rel_Freq	PlaidCymruManifesto2024	PlaidCymruManifesto2024_Rel_Freq	ReformUKmanifesto2024	ReformUKmanifesto2024_Rel_Freq	SNPManifesto2024	SNPManifesto2024_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
&pound;250_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;250_million	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	6.25	0.79	0.84	
&pound;25_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.03	0	0.00	2	0.00	1	11.56	0.94	1.00	
&pound;26.20	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1	0.00	1	5.48	0.94	0.99	
&pound;26.70	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.03	2	0.00	1	10.97	0.94	0.99	
&pound;26_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;275	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;280_million	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;281_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1	0.00	1	5.48	0.94	0.99	
&pound;28bn	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	2	0.00	2	6.41	0.78	0.82	
&pound;29bn	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.70	0.84	0.89	
&pound;2_billion	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	3 	0.04	0	0.00	5	0.00	2	16.86	0.73	0.78	
&pound;2bn	0	0.00	3 	0.02	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00	1	11.09	0.84	0.89	
